"ObsDate","ObsTime","IntSensor","ExtSensor"
"2015-Dec-03","15:13:44",10.8,-20.5
"2015-Dec-03","15:18:59",11.3,-20.5
"2015-Dec-03","15:23:59",12.2,-20.5
"2015-Dec-03","15:28:59",12.7,-20.5
"2015-Dec-03","15:33:59",13,-20.5
"2015-Dec-03","15:38:59",13.2,-20.5
"2015-Dec-03","15:43:59",13.3,-20.5
"2015-Dec-03","15:44:00",13.5,-20.5
"2015-Dec-03","15:49:01",13.5,-20.5
"2015-Dec-03","15:54:01",13.5,-20.5
"2015-Dec-03","15:59:01",13.6,-20.5
"2015-Dec-03","16:04:01",13.6,-20.5
"2015-Dec-03","16:09:01",13.8,-20.5
"2015-Dec-03","16:14:01",13.8,-20.5
"2015-Dec-03","16:14:02",13.8,-20.5
"2015-Dec-03","16:19:03",13.8,-20.5
"2015-Dec-03","16:24:03",14,-20.5
"2015-Dec-03","16:29:03",14,-20.5
"2015-Dec-03","16:34:03",13.8,-20.5
"2015-Dec-03","16:39:03",14,-20.5
"2015-Dec-03","16:44:02",14,-20.5
"2015-Dec-03","16:49:03",14,-20.5
"2015-Dec-03","16:54:03",14,-20.5
"2015-Dec-03","16:59:03",14,-20.5
"2015-Dec-03","17:04:03",14,-20.5
"2015-Dec-03","17:09:03",14,-20.5
"2015-Dec-03","17:14:02",14,-20.5
"2015-Dec-03","17:19:03",14,-20.5
"2015-Dec-03","17:24:03",14,-20.5
"2015-Dec-03","17:29:03",14,-20.5
"2015-Dec-03","17:34:03",14,-20.5
"2015-Dec-03","17:39:03",14,-20.5
"2015-Dec-03","17:44:02",13.8,-20.5
"2015-Dec-03","17:49:03",13.8,-20.5
"2015-Dec-03","17:54:03",13.8,-20.5
"2015-Dec-03","17:59:03",13.8,-20.5
"2015-Dec-03","18:04:03",13.8,-20.5
"2015-Dec-03","18:09:03",13.8,-20.5
"2015-Dec-03","18:14:02",13.8,-20.5
"2015-Dec-03","18:19:03",13.8,-20.5
"2015-Dec-03","18:24:03",13.8,-20.5
"2015-Dec-03","18:29:03",13.8,-20.5
"2015-Dec-03","18:34:03",13.8,-20.5
"2015-Dec-03","18:39:03",13.8,-20.5
"2015-Dec-03","18:44:02",13.8,-20.5
"2015-Dec-03","18:49:03",13.6,-20.5
"2015-Dec-03","18:54:03",13.6,-20.5
"2015-Dec-03","18:59:03",13.8,-20.5
"2015-Dec-03","19:04:03",13.8,-20.5
"2015-Dec-03","19:09:03",13.8,-20.5
"2015-Dec-03","19:14:02",13.8,-20.5
"2015-Dec-03","19:19:03",13.6,-20.5
"2015-Dec-03","19:24:03",13.6,-20.5
